date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:56	281707/281707	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc29-44c6b%22	https://www.dmk.in/img/TFiles/0053.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0053.jpg	(from https://www.dmk.in/nep-tamil)
14:44:56	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.249.delayed	(from https://www.dmk.in/nep-tamil)
14:44:56	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.24a.delayed	(from https://www.dmk.in/nep-tamil)
14:44:56	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.24b.delayed	(from https://www.dmk.in/nep)
14:44:57	261205/261205	---M--	200	added ('OK')	application/pdf	etag:%225d3fca1c-3fc55%22	https://www.dmk.in/img/TFiles/NEP-TAMIL.pdf	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/NEP-TAMIL.pdf	(from https://www.dmk.in/nep-tamil)
14:44:57	3910/3910	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Mar%202021%2009:14:54%20GMT	https://www.dmk.in/01-Final%20Report%20-%2027.7.2019%20-%204.48%20pm%20-%20Corrected_files/header.htm	C:/My%20Web%20Sites/dmk/www.dmk.in/01-Final%20Report%20-%2027.7.2019%20-%204.48%20pm%20-%20Corrected_files/header.htm	(from https://www.dmk.in/nep)
14:44:57	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.24e.delayed	(from https://www.dmk.in/nep)
14:44:57	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.24f.delayed	(from https://www.dmk.in/nep)
14:44:57	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.250.delayed	(from https://www.dmk.in/candidates)
14:44:57	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.251.delayed	(from https://www.dmk.in/candidates)
14:44:57	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.252.delayed	(from https://www.dmk.in/candidates)
14:44:58	243120/243120	---M--	200	added ('OK')	application/pdf	etag:%225d3fca07-3b5b0%22	https://www.dmk.in/img/TFiles/NEP-ENG.pdf	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/NEP-ENG.pdf	(from https://www.dmk.in/nep)
14:44:58	3287/3287	---M--	200	added ('OK')	image/png	etag:%225f756f95-cd7%22	https://dmk.in/joindmk/assets/images/favicon.png	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/images/favicon.png	(from https://www.dmk.in/joindmk/)
14:44:58	153182/153182	---MCZ	200	added ('OK')	text/css	etag:W/%225f756f95-2565e%22	https://dmk.in/joindmk/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/css/bootstrap.min.css	(from https://www.dmk.in/joindmk/)
14:44:59	957/957	---MCZ	200	added ('OK')	text/css	etag:W/%225f756f95-3bd%22	https://dmk.in/joindmk/assets/css/reset.css	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/css/reset.css	(from https://www.dmk.in/joindmk/)
14:44:59	160093/160093	---MCZ	200	added ('OK')	text/css	etag:W/%225f756f95-2715d%22	https://dmk.in/joindmk/assets/css/plugins.css	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/css/plugins.css	(from https://www.dmk.in/joindmk/)
14:45:00	192205/192205	---MCZ	200	added ('OK')	text/css	etag:W/%225f756f95-2eecd%22	https://dmk.in/joindmk/assets/css/style.css	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/css/style.css	(from https://www.dmk.in/joindmk/)
14:45:00	7263/7263	---MCZ	200	added ('OK')	text/css	etag:W/%225f756f95-1c5f%22	https://dmk.in/joindmk/assets/css/color.css	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/css/color.css	(from https://www.dmk.in/joindmk/)
14:45:00	9777/9777	---MCZ	200	added ('OK')	text/css	etag:W/%225f756f95-2631%22	https://dmk.in/joindmk/assets/css/bootstrap-select.min.css	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/css/bootstrap-select.min.css	(from https://www.dmk.in/joindmk/)
14:45:00	10120/10120	---MCZ	200	added ('OK')	text/css	etag:W/%225f71d066-2788%22	https://dmk.in/joindmk/assets/css/custom.css	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/css/custom.css	(from https://www.dmk.in/joindmk/)
14:45:01	3866/3866	---MCZ	200	added ('OK')	text/css	etag:W/%225f756f95-f1a%22	https://dmk.in/joindmk/assets/css/media_screen.css	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/css/media_screen.css	(from https://www.dmk.in/joindmk/)
14:45:02	212842/212842	---M--	200	added ('OK')	image/jpeg	etag:%225f756f95-33f6a%22	https://dmk.in/joindmk/assets/images/banner.jpg	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/images/banner.jpg	(from https://www.dmk.in/joindmk/)
14:45:02	84328/84328	---M--	200	added ('OK')	image/jpeg	etag:%225f756f95-14968%22	https://dmk.in/joindmk/assets/images/m-banner.jpg	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/images/m-banner.jpg	(from https://www.dmk.in/joindmk/)
14:45:02	9896/9896	---M--	200	added ('OK')	image/png	etag:%225f756f95-26a8%22	https://dmk.in/joindmk/assets/images/icon-1.png	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/images/icon-1.png	(from https://www.dmk.in/joindmk/)
14:45:02	2662/2662	---M--	200	added ('OK')	image/png	etag:%225f756f95-a66%22	https://dmk.in/joindmk/assets/images/icon-3.png	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/images/icon-3.png	(from https://www.dmk.in/joindmk/)
14:45:03	7106/7106	---M--	200	added ('OK')	image/png	etag:%225f756f95-1bc2%22	https://dmk.in/joindmk/assets/images/icon-2.png	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/images/icon-2.png	(from https://www.dmk.in/joindmk/)
14:45:04	267131/267131	---M--	200	added ('OK')	image/png	etag:%225f756f95-4137b%22	https://dmk.in/joindmk/assets/images/mks-video.png	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/images/mks-video.png	(from https://www.dmk.in/joindmk/)
14:45:04	85588/85588	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-14e54%22	https://dmk.in/joindmk/assets/js/jquery.min.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/jquery.min.js	(from https://www.dmk.in/joindmk/)
14:45:04	510284/510284	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-7c94c%22	https://dmk.in/joindmk/assets/js/plugins.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/plugins.js	(from https://www.dmk.in/joindmk/)
14:45:04	1080/1080	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-438%22	https://dmk.in/joindmk/assets/js/scripts.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/scripts.js	(from https://www.dmk.in/joindmk/)
14:45:04	19188/19188	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-4af4%22	https://dmk.in/joindmk/assets/js/popper.min.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/popper.min.js	(from https://www.dmk.in/joindmk/)
14:45:04	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-bf30%22	https://dmk.in/joindmk/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/bootstrap.min.js	(from https://www.dmk.in/joindmk/)
14:45:05	44448/44448	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-ada0%22	https://dmk.in/joindmk/assets/js/bootstrap-select.min.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/bootstrap-select.min.js	(from https://www.dmk.in/joindmk/)
14:45:05	21090/21090	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-5262%22	https://dmk.in/joindmk/assets/js/jquery.validate.min.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/jquery.validate.min.js	(from https://www.dmk.in/joindmk/)
14:45:05	1703/1703	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-6a7%22	https://dmk.in/joindmk/assets/js/lang/tamil_lang.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/lang/tamil_lang.js	(from https://www.dmk.in/joindmk/)
14:45:06	22033/22033	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9bbefb-5611%22	https://dmk.in/joindmk/assets/js/main.js?v=1.2	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/main7839.js	(from https://www.dmk.in/joindmk/)
14:45:06	32781/32781	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-800d%22	https://dmk.in/joindmk/assets/js/jquery.repeater.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/jquery.repeater.js	(from https://www.dmk.in/joindmk/)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.26e.delayed	(from https://www.dmk.in/privacypolicy)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.26f.delayed	(from https://www.dmk.in/privacypolicy)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.270.delayed	(from https://www.dmk.in/privacypolicy)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.271.delayed	(from https://www.dmk.in/terms)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.272.delayed	(from https://www.dmk.in/terms)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.273.delayed	(from https://www.dmk.in/terms)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.274.delayed	(from https://www.dmk.in/contactus)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.275.delayed	(from https://www.dmk.in/contactus)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.276.delayed	(from https://www.dmk.in/contactus)
14:45:07	764/764	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b2d6f5571c10d71:0%22	http://cdn.mouseflow.com/projects/94b7217a-b26e-46d7-8b79-701749efcf9b.js	C:/My%20Web%20Sites/dmk/cdn.mouseflow.com/projects/94b7217a-b26e-46d7-8b79-701749efcf9b.js	(from https://www.dmk.in/joindmk/)
14:45:07	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f756f95-9f68%22	https://dmk.in/joindmk/assets/js/sweetalert.min.js	C:/My%20Web%20Sites/dmk/dmk.in/joindmk/assets/js/sweetalert.min.js	(from https://www.dmk.in/joindmk/)
14:45:07	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac1bc26-18%22	https://dmk.in/robots.txt		(from https://dmk.in/css/slick-theme.css)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.277.delayed	(from https://www.dmk.in/officialsview/HQ)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.278.delayed	(from https://www.dmk.in/officialsview/HQ)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.279.delayed	(from https://www.dmk.in/officialsview/HQ)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.27a.delayed	(from https://www.dmk.in/officialsview/Deputy-General-Secretary)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.27b.delayed	(from https://www.dmk.in/officialsview/Deputy-General-Secretary)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.27c.delayed	(from https://www.dmk.in/officialsview/Deputy-General-Secretary)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.27d.delayed	(from https://www.dmk.in/officialsview/High-Level-Action-Planning-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.27e.delayed	(from https://www.dmk.in/officialsview/High-Level-Action-Planning-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.27f.delayed	(from https://www.dmk.in/officialsview/High-Level-Action-Planning-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.280.delayed	(from https://www.dmk.in/officialsview/HQ-Legal-Advisers-and-Lawyers)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.281.delayed	(from https://www.dmk.in/officialsview/HQ-Legal-Advisers-and-Lawyers)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.282.delayed	(from https://www.dmk.in/officialsview/HQ-Legal-Advisers-and-Lawyers)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.283.delayed	(from https://www.dmk.in/officialsview/Policy-Publishers-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.284.delayed	(from https://www.dmk.in/officialsview/Policy-Publishers-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.285.delayed	(from https://www.dmk.in/officialsview/Policy-Publishers-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.286.delayed	(from https://www.dmk.in/officialsview/HQ-Secretaries)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.287.delayed	(from https://www.dmk.in/officialsview/HQ-Secretaries)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.288.delayed	(from https://www.dmk.in/officialsview/HQ-Secretaries)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.289.delayed	(from https://www.dmk.in/officialsview/HQ-Press-Liaison-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.28a.delayed	(from https://www.dmk.in/officialsview/HQ-Press-Liaison-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.28b.delayed	(from https://www.dmk.in/officialsview/HQ-Press-Liaison-Committee)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.28c.delayed	(from https://www.dmk.in/officialsview/Party-Publishers)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/partystructure	C:/My%20Web%20Sites/dmk/www.dmk.in/partystructure.28d.delayed	(from https://www.dmk.in/officialsview/Party-Publishers)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.28e.delayed	(from https://www.dmk.in/officialsview/Party-Publishers)
14:45:07	0/-1	---M--	302	error ('')			https://www.dmk.in/kalaignar-karunanithi	C:/My%20Web%20Sites/dmk/www.dmk.in/kalaignar-karunanithi.28f.delayed	(from https://www.dmk.in/officialsview/%20Legislative-Amendment-Committee)
